,Latitude,Longitude,Area,15-29 years,30-64 years,65 years and over,No qualification,Level 1 certificate,Level 2 certificate,Level 3 certificate,Level 4 certificate,Level 5 diploma,Level 6 diploma,Bachelor degree and level 7 qualification,Post-graduate and honours degrees,Masters degree,Doctorate degree,Overseas secondary school qualification,Total people - religious affiliation,  Adventist,  Anglican,  Baptist,  Catholicism,"  Evangelical, Born Again and Fundamentalist",  Jehovah's Witnesses,  Latter-day Saints,  Methodist,  Pentecostal,"  Presbyterian, Congregational and Reformed","  Maori Religions, Beliefs and Philosophies",  Buddhism,  Hinduism,  Islam,  Judaism,  Spiritualism and New Age religions,  Sikhism,  Jedi,  Other religions,  No religion,European,Maori,Pacific Peoples,Asian,Middle Eastern/Latin American/African,Other ethnicity,Regular smoker,Ex-smoker,Never smoked regularly,No dependent children,One dependent child,Two dependent children,Three dependent children,Four or more dependent children,Total people - with at least one religious affiliation,No religion,Respondents,Year
424,-36.887050609512656,174.7900770537352,Konini,618.0,1770.0,399.0,297.0,240.0,273.0,297.0,228.0,126.0,147.0,465.0,231.0,162.0,33.0,153.0,3555.0,6.0,174.0,81.0,315.0,21.0,15.0,18.0,27.0,27.0,81.0,15.0,39.0,39.0,27.0,9.0,21.0,3.0,24.0,18.0,2076.0,2967.0,369.0,270.0,369.0,57.0,60.0,276.0,678.0,1818.0,117.0,138.0,192.0,54.0,15.0,1260.0,2076.0,3564.0,2018
426,-36.91040328659364,174.76454921085548,New Lynn North West,723.0,1515.0,354.0,348.0,177.0,165.0,234.0,138.0,126.0,102.0,474.0,144.0,117.0,9.0,303.0,3120.0,15.0,75.0,12.0,315.0,15.0,6.0,27.0,63.0,96.0,111.0,18.0,96.0,435.0,168.0,3.0,6.0,45.0,9.0,12.0,1164.0,1026.0,324.0,546.0,1530.0,48.0,15.0,339.0,366.0,1869.0,87.0,141.0,87.0,27.0,9.0,1797.0,1164.0,3141.0,2018
428,-36.91935082626189,174.7643890602584,Hobson Ridge North,1317.0,1362.0,183.0,84.0,66.0,57.0,156.0,63.0,117.0,93.0,675.0,201.0,204.0,15.0,285.0,2475.0,3.0,36.0,6.0,330.0,18.0,0.0,6.0,3.0,15.0,27.0,3.0,96.0,432.0,90.0,0.0,15.0,69.0,6.0,12.0,1059.0,753.0,72.0,78.0,1464.0,207.0,21.0,249.0,285.0,1809.0,12.0,72.0,12.0,3.0,3.0,1320.0,1059.0,3048.0,2018
430,-36.88692917146422,174.8185899591983,Grey Lynn Central,1017.0,1863.0,210.0,129.0,141.0,198.0,363.0,120.0,96.0,123.0,894.0,387.0,288.0,57.0,96.0,3588.0,6.0,183.0,9.0,342.0,12.0,0.0,21.0,54.0,24.0,144.0,6.0,27.0,48.0,18.0,9.0,21.0,0.0,24.0,33.0,2229.0,2919.0,291.0,456.0,312.0,78.0,30.0,276.0,663.0,2133.0,57.0,123.0,108.0,39.0,6.0,1182.0,2229.0,3606.0,2018
432,-36.899294148536605,174.8142656251335,Fruitvale,696.0,1404.0,327.0,270.0,165.0,186.0,258.0,186.0,99.0,105.0,429.0,159.0,126.0,21.0,219.0,2952.0,6.0,90.0,45.0,336.0,36.0,12.0,36.0,60.0,33.0,60.0,27.0,48.0,279.0,135.0,6.0,27.0,33.0,9.0,39.0,1242.0,1488.0,351.0,411.0,1035.0,99.0,27.0,273.0,414.0,1713.0,78.0,135.0,111.0,30.0,3.0,1521.0,1242.0,2979.0,2018
434,-36.866184704300586,174.85267548024936,Devonport,531.0,1605.0,645.0,189.0,192.0,186.0,243.0,120.0,114.0,171.0,579.0,327.0,276.0,69.0,141.0,3348.0,3.0,345.0,12.0,345.0,15.0,3.0,3.0,24.0,21.0,111.0,3.0,21.0,15.0,9.0,9.0,27.0,0.0,18.0,33.0,1965.0,3087.0,174.0,75.0,138.0,54.0,45.0,129.0,633.0,1974.0,102.0,99.0,168.0,57.0,12.0,1206.0,1965.0,3408.0,2018
436,-36.881078457203394,174.79556808677106,Avondale Central (Auckland),876.0,1284.0,435.0,393.0,168.0,168.0,234.0,138.0,78.0,99.0,459.0,162.0,132.0,15.0,264.0,3030.0,27.0,93.0,30.0,327.0,33.0,21.0,33.0,60.0,36.0,111.0,21.0,81.0,291.0,198.0,6.0,6.0,15.0,21.0,27.0,1182.0,1128.0,276.0,534.0,1281.0,96.0,33.0,327.0,408.0,1845.0,63.0,87.0,72.0,30.0,12.0,1716.0,1182.0,3036.0,2018
438,-36.89713107487264,174.80355049770986,Queen Street,1575.0,1557.0,285.0,69.0,48.0,87.0,141.0,54.0,66.0,63.0,411.0,120.0,135.0,18.0,162.0,2193.0,0.0,45.0,9.0,246.0,15.0,0.0,6.0,9.0,27.0,42.0,0.0,57.0,99.0,78.0,0.0,6.0,0.0,15.0,24.0,1293.0,1128.0,66.0,51.0,828.0,192.0,21.0,273.0,333.0,1521.0,9.0,30.0,12.0,0.0,0.0,819.0,1293.0,3591.0,2018
440,-36.88103299022773,174.85279844843924,Quay Street-Customs Street,870.0,1458.0,303.0,93.0,60.0,99.0,180.0,66.0,96.0,87.0,501.0,183.0,204.0,36.0,252.0,2274.0,6.0,81.0,12.0,234.0,12.0,6.0,15.0,21.0,27.0,63.0,3.0,90.0,210.0,147.0,3.0,9.0,33.0,12.0,18.0,1050.0,891.0,99.0,78.0,1137.0,150.0,21.0,198.0,297.0,1596.0,18.0,72.0,36.0,6.0,0.0,1119.0,1050.0,2862.0,2018
442,-36.86532624965865,174.87327319516638,Hobson Ridge Central,2187.0,1449.0,96.0,195.0,54.0,75.0,264.0,93.0,198.0,135.0,972.0,252.0,252.0,12.0,510.0,3756.0,0.0,39.0,18.0,528.0,39.0,3.0,18.0,6.0,18.0,30.0,12.0,153.0,738.0,153.0,0.0,12.0,105.0,9.0,36.0,1437.0,660.0,144.0,111.0,2703.0,267.0,36.0,435.0,291.0,2802.0,12.0,99.0,42.0,3.0,0.0,2181.0,1437.0,3984.0,2018
444,-36.88984338677719,174.85215436627627,Grey Lynn East,681.0,1017.0,84.0,54.0,72.0,102.0,177.0,84.0,60.0,72.0,495.0,219.0,132.0,21.0,72.0,1890.0,9.0,51.0,6.0,186.0,0.0,3.0,9.0,18.0,15.0,51.0,6.0,33.0,33.0,21.0,12.0,15.0,6.0,15.0,18.0,1218.0,1515.0,168.0,150.0,252.0,57.0,12.0,186.0,366.0,1176.0,18.0,48.0,36.0,9.0,0.0,588.0,1218.0,1953.0,2018
446,-36.88649695846636,174.8436095936773,Morningside (Auckland),1215.0,2052.0,240.0,204.0,165.0,222.0,381.0,183.0,144.0,144.0,894.0,357.0,294.0,48.0,186.0,3981.0,3.0,141.0,27.0,465.0,12.0,9.0,30.0,48.0,33.0,81.0,3.0,78.0,234.0,111.0,9.0,18.0,36.0,27.0,54.0,2118.0,2730.0,357.0,408.0,870.0,105.0,45.0,357.0,687.0,2442.0,72.0,135.0,120.0,24.0,6.0,1671.0,2118.0,3996.0,2018
448,-36.89377561472367,174.84955170788376,Shortland Street,666.0,933.0,159.0,45.0,33.0,60.0,120.0,54.0,51.0,57.0,435.0,150.0,189.0,45.0,141.0,1602.0,0.0,54.0,3.0,174.0,6.0,6.0,3.0,3.0,9.0,30.0,0.0,48.0,54.0,54.0,6.0,6.0,3.0,6.0,24.0,921.0,816.0,60.0,30.0,648.0,111.0,18.0,141.0,237.0,1179.0,15.0,18.0,6.0,0.0,0.0,594.0,921.0,1821.0,2018
450,-36.90097570534557,174.82815047739882,Hobson Ridge South,1146.0,855.0,84.0,99.0,30.0,45.0,138.0,48.0,93.0,72.0,495.0,126.0,132.0,12.0,246.0,1959.0,3.0,21.0,6.0,261.0,9.0,0.0,6.0,9.0,24.0,21.0,3.0,75.0,282.0,60.0,6.0,6.0,87.0,3.0,15.0,837.0,429.0,45.0,39.0,1335.0,156.0,24.0,207.0,150.0,1521.0,12.0,30.0,9.0,3.0,0.0,1044.0,837.0,2172.0,2018
452,-36.90912851891586,174.85202792058868,New Lynn Central,144.0,288.0,63.0,48.0,33.0,24.0,48.0,30.0,21.0,18.0,81.0,24.0,30.0,3.0,54.0,543.0,3.0,21.0,6.0,69.0,9.0,0.0,3.0,3.0,6.0,24.0,0.0,30.0,45.0,24.0,0.0,3.0,6.0,0.0,3.0,222.0,201.0,51.0,42.0,282.0,9.0,0.0,54.0,75.0,357.0,3.0,21.0,9.0,0.0,0.0,291.0,222.0,552.0,2018
454,-36.89821515550008,174.8521862485007,Cheltenham,306.0,903.0,453.0,108.0,108.0,123.0,138.0,66.0,57.0,111.0,372.0,201.0,189.0,57.0,81.0,2013.0,0.0,240.0,3.0,186.0,3.0,6.0,0.0,12.0,6.0,57.0,0.0,24.0,12.0,3.0,3.0,9.0,0.0,3.0,18.0,1206.0,1890.0,102.0,51.0,93.0,18.0,21.0,57.0,387.0,1218.0,66.0,72.0,102.0,30.0,3.0,684.0,1206.0,2007.0,2018
456,-36.89821515550008,174.8521862485007,Queen Street South West,888.0,1047.0,249.0,93.0,51.0,63.0,132.0,51.0,87.0,66.0,366.0,132.0,126.0,21.0,186.0,1614.0,6.0,33.0,15.0,183.0,6.0,6.0,9.0,3.0,18.0,33.0,15.0,48.0,93.0,54.0,6.0,6.0,12.0,3.0,33.0,783.0,636.0,123.0,54.0,747.0,141.0,21.0,180.0,240.0,1137.0,12.0,18.0,9.0,3.0,0.0,744.0,783.0,2274.0,2018
458,-36.79922712666525,175.09885106673173,Mount Albert Central,852.0,1704.0,396.0,267.0,222.0,210.0,297.0,144.0,87.0,141.0,711.0,300.0,225.0,42.0,159.0,3669.0,3.0,159.0,45.0,624.0,18.0,6.0,9.0,30.0,39.0,87.0,9.0,63.0,159.0,57.0,0.0,18.0,21.0,9.0,24.0,1866.0,2553.0,333.0,252.0,873.0,84.0,45.0,237.0,543.0,2145.0,108.0,135.0,180.0,42.0,15.0,1635.0,1866.0,3687.0,2018
460,-36.92611348170424,174.83863885732617,Karangahape,903.0,1218.0,183.0,69.0,84.0,117.0,195.0,66.0,93.0,111.0,507.0,240.0,207.0,33.0,171.0,2307.0,0.0,90.0,27.0,276.0,12.0,9.0,3.0,3.0,18.0,42.0,3.0,60.0,105.0,42.0,6.0,9.0,15.0,12.0,27.0,1326.0,1428.0,126.0,75.0,684.0,150.0,18.0,204.0,438.0,1554.0,21.0,27.0,27.0,3.0,0.0,885.0,1326.0,2427.0,2018
462,-36.8977635043444,174.8868137023838,Kingsland,1113.0,1695.0,156.0,168.0,120.0,198.0,354.0,123.0,102.0,96.0,810.0,381.0,231.0,33.0,117.0,3372.0,21.0,114.0,15.0,288.0,12.0,3.0,45.0,36.0,45.0,105.0,15.0,39.0,57.0,24.0,3.0,15.0,9.0,24.0,60.0,2079.0,2571.0,369.0,459.0,348.0,78.0,36.0,366.0,594.0,1986.0,39.0,105.0,84.0,24.0,6.0,1119.0,2079.0,3399.0,2018
464,-36.87933021976621,174.9089218818195,Anzac Avenue,1266.0,1401.0,213.0,90.0,75.0,93.0,264.0,93.0,99.0,99.0,684.0,276.0,288.0,72.0,252.0,2748.0,9.0,69.0,15.0,291.0,15.0,3.0,6.0,15.0,9.0,48.0,6.0,105.0,141.0,87.0,9.0,9.0,39.0,12.0,36.0,1509.0,1260.0,120.0,72.0,1221.0,204.0,39.0,231.0,399.0,2025.0,15.0,48.0,12.0,3.0,0.0,1119.0,1509.0,3000.0,2018
466,-36.950879824647664,174.79858770371942,Waima-Woodlands Park,396.0,1404.0,222.0,186.0,171.0,168.0,189.0,150.0,108.0,132.0,372.0,216.0,126.0,36.0,99.0,2682.0,6.0,129.0,33.0,174.0,6.0,3.0,6.0,9.0,18.0,30.0,6.0,24.0,15.0,12.0,6.0,24.0,3.0,15.0,21.0,1752.0,2418.0,207.0,72.0,243.0,45.0,24.0,165.0,489.0,1359.0,93.0,114.0,186.0,48.0,6.0,702.0,1752.0,2691.0,2018
468,-36.912637582695496,174.86196075472515,Kaurilands,540.0,1590.0,339.0,276.0,210.0,228.0,243.0,192.0,102.0,132.0,450.0,216.0,144.0,33.0,132.0,3177.0,3.0,144.0,30.0,270.0,24.0,21.0,12.0,21.0,27.0,75.0,12.0,27.0,63.0,42.0,6.0,18.0,9.0,27.0,24.0,1944.0,2616.0,369.0,192.0,387.0,72.0,33.0,219.0,546.0,1680.0,93.0,105.0,192.0,45.0,12.0,1041.0,1944.0,3204.0,2018
470,-36.90048697759316,174.89370278774686,New Lynn Seabrook,615.0,1359.0,348.0,324.0,180.0,171.0,219.0,156.0,96.0,96.0,366.0,138.0,123.0,15.0,231.0,2886.0,18.0,105.0,15.0,351.0,15.0,21.0,12.0,54.0,57.0,102.0,18.0,48.0,261.0,183.0,3.0,18.0,21.0,6.0,24.0,1119.0,1266.0,255.0,462.0,1098.0,123.0,33.0,279.0,432.0,1599.0,69.0,114.0,99.0,39.0,9.0,1605.0,1119.0,2895.0,2018
472,-36.929405003505366,174.8308659372507,Avondale South (Auckland),1152.0,1977.0,378.0,471.0,228.0,210.0,354.0,183.0,159.0,132.0,663.0,228.0,186.0,30.0,348.0,4227.0,24.0,90.0,24.0,600.0,24.0,21.0,60.0,81.0,75.0,216.0,30.0,114.0,615.0,318.0,3.0,6.0,96.0,9.0,24.0,1251.0,1299.0,375.0,891.0,2031.0,126.0,45.0,408.0,540.0,2559.0,114.0,168.0,141.0,36.0,15.0,2760.0,1251.0,4224.0,2018
474,-36.8884847796286,174.91268565126848,Symonds Street North West,2334.0,870.0,54.0,81.0,48.0,57.0,594.0,81.0,105.0,96.0,558.0,204.0,243.0,27.0,486.0,2922.0,6.0,33.0,6.0,264.0,9.0,3.0,9.0,3.0,18.0,39.0,6.0,138.0,162.0,243.0,6.0,3.0,9.0,6.0,30.0,1626.0,768.0,117.0,69.0,1887.0,216.0,21.0,219.0,219.0,2409.0,9.0,42.0,9.0,3.0,0.0,1185.0,1626.0,3348.0,2018
476,-36.94429143183427,174.81424065259583,Mount Albert South,615.0,1119.0,321.0,168.0,132.0,165.0,240.0,108.0,90.0,93.0,462.0,207.0,117.0,30.0,117.0,2415.0,0.0,111.0,54.0,363.0,24.0,6.0,12.0,24.0,36.0,72.0,3.0,45.0,72.0,39.0,9.0,12.0,3.0,12.0,18.0,1173.0,1719.0,177.0,150.0,591.0,48.0,18.0,132.0,312.0,1599.0,96.0,87.0,96.0,30.0,6.0,1119.0,1173.0,2421.0,2018
478,-36.89639947941841,174.91348223182428,Symonds Street West,2067.0,1170.0,204.0,135.0,57.0,69.0,342.0,75.0,117.0,93.0,627.0,159.0,210.0,18.0,384.0,2856.0,3.0,24.0,3.0,306.0,18.0,0.0,12.0,24.0,21.0,48.0,0.0,144.0,291.0,180.0,6.0,15.0,48.0,6.0,30.0,1380.0,630.0,120.0,99.0,1887.0,225.0,33.0,315.0,255.0,2187.0,15.0,39.0,12.0,0.0,0.0,1380.0,1380.0,3600.0,2018
480,-36.94364781005971,174.83233430955696,West Lynn,549.0,1620.0,369.0,288.0,231.0,231.0,258.0,207.0,108.0,129.0,459.0,189.0,120.0,21.0,144.0,3177.0,15.0,150.0,39.0,318.0,36.0,24.0,12.0,42.0,51.0,90.0,18.0,60.0,156.0,30.0,3.0,24.0,6.0,18.0,39.0,1647.0,2370.0,291.0,258.0,603.0,45.0,45.0,249.0,582.0,1668.0,108.0,135.0,144.0,60.0,12.0,1323.0,1647.0,3210.0,2018
482,-36.97284484867831,174.80309566692736,Owairaka West,885.0,1482.0,261.0,327.0,135.0,165.0,249.0,138.0,102.0,117.0,570.0,168.0,132.0,21.0,270.0,3222.0,12.0,60.0,12.0,414.0,21.0,9.0,66.0,75.0,48.0,129.0,12.0,66.0,279.0,225.0,6.0,12.0,42.0,21.0,30.0,1242.0,1182.0,288.0,609.0,1311.0,165.0,39.0,354.0,357.0,1920.0,63.0,129.0,87.0,21.0,15.0,1827.0,1242.0,3219.0,2018
484,-36.89327626267501,174.92399649081773,New Lynn Central South,651.0,1302.0,372.0,294.0,129.0,120.0,225.0,102.0,84.0,90.0,471.0,150.0,135.0,12.0,294.0,2793.0,12.0,99.0,18.0,345.0,51.0,6.0,18.0,63.0,57.0,99.0,12.0,69.0,363.0,123.0,0.0,3.0,48.0,0.0,24.0,1008.0,843.0,237.0,360.0,1560.0,60.0,21.0,246.0,348.0,1728.0,75.0,123.0,93.0,15.0,6.0,1659.0,1008.0,2796.0,2018
486,-36.98720310918408,174.82848589131345,The Strand,798.0,555.0,66.0,33.0,24.0,39.0,174.0,39.0,45.0,39.0,309.0,117.0,117.0,18.0,141.0,1353.0,3.0,36.0,6.0,147.0,6.0,0.0,9.0,6.0,18.0,15.0,0.0,30.0,78.0,57.0,9.0,6.0,21.0,6.0,21.0,705.0,618.0,45.0,36.0,543.0,177.0,15.0,102.0,153.0,1035.0,6.0,21.0,12.0,0.0,0.0,585.0,705.0,1497.0,2018
488,-36.96891741400694,174.83242101902823,St Lukes,729.0,1107.0,195.0,132.0,87.0,87.0,198.0,78.0,87.0,90.0,519.0,183.0,168.0,15.0,210.0,2391.0,0.0,72.0,15.0,210.0,18.0,0.0,12.0,9.0,6.0,57.0,6.0,45.0,372.0,135.0,9.0,6.0,30.0,15.0,27.0,1035.0,903.0,144.0,174.0,1296.0,117.0,21.0,180.0,285.0,1551.0,39.0,99.0,72.0,24.0,0.0,1245.0,1035.0,2415.0,2018
490,-36.9153003402882,174.92111408740524,Symonds Street East,1866.0,573.0,57.0,57.0,24.0,39.0,570.0,51.0,57.0,48.0,312.0,111.0,150.0,24.0,234.0,1980.0,0.0,33.0,6.0,171.0,12.0,3.0,12.0,9.0,15.0,21.0,3.0,78.0,99.0,144.0,6.0,3.0,15.0,6.0,15.0,1104.0,687.0,105.0,63.0,1119.0,132.0,21.0,108.0,162.0,1677.0,6.0,18.0,3.0,0.0,0.0,819.0,1104.0,2559.0,2018
492,-36.96891741400694,174.83242101902823,Eden Terrace,1644.0,1965.0,138.0,84.0,87.0,168.0,408.0,126.0,183.0,138.0,1071.0,435.0,348.0,63.0,273.0,3933.0,6.0,105.0,18.0,441.0,15.0,3.0,6.0,9.0,36.0,66.0,9.0,108.0,234.0,102.0,9.0,18.0,24.0,27.0,63.0,2175.0,2148.0,216.0,117.0,1467.0,234.0,39.0,348.0,564.0,2829.0,36.0,84.0,27.0,3.0,3.0,1596.0,2175.0,3942.0,2018
494,-36.93261862573248,174.91487660456986,Grafton,1041.0,1101.0,363.0,48.0,57.0,57.0,291.0,36.0,39.0,54.0,393.0,153.0,129.0,45.0,117.0,1686.0,6.0,87.0,6.0,219.0,9.0,0.0,6.0,9.0,12.0,45.0,6.0,42.0,57.0,39.0,0.0,9.0,3.0,9.0,24.0,894.0,1020.0,129.0,66.0,576.0,66.0,12.0,111.0,186.0,1269.0,21.0,33.0,24.0,9.0,0.0,714.0,894.0,2832.0,2018
496,-36.98890926225147,174.8343737293188,Eden Park,480.0,861.0,99.0,69.0,69.0,81.0,135.0,57.0,48.0,69.0,405.0,183.0,141.0,27.0,66.0,1710.0,3.0,72.0,3.0,192.0,12.0,0.0,12.0,9.0,15.0,42.0,12.0,24.0,57.0,12.0,6.0,15.0,6.0,3.0,24.0,1011.0,1314.0,144.0,144.0,276.0,33.0,15.0,150.0,249.0,1041.0,27.0,42.0,75.0,21.0,3.0,627.0,1011.0,1713.0,2018
498,-36.96938758615845,174.91222345168902,Sandringham North,975.0,1899.0,285.0,216.0,138.0,195.0,324.0,120.0,102.0,108.0,813.0,363.0,243.0,57.0,234.0,3897.0,9.0,168.0,30.0,438.0,9.0,6.0,18.0,48.0,45.0,105.0,6.0,72.0,342.0,84.0,12.0,9.0,24.0,18.0,51.0,1962.0,2556.0,240.0,339.0,1068.0,69.0,36.0,246.0,594.0,2316.0,60.0,159.0,168.0,60.0,9.0,1770.0,1962.0,3897.0,2018
500,-37.00704709083322,174.84642053903184,Parnell West,1644.0,2034.0,465.0,126.0,159.0,186.0,585.0,108.0,102.0,153.0,927.0,432.0,375.0,84.0,261.0,4158.0,6.0,369.0,15.0,444.0,27.0,9.0,9.0,15.0,27.0,132.0,6.0,102.0,63.0,33.0,12.0,12.0,3.0,27.0,72.0,2277.0,3054.0,201.0,87.0,942.0,159.0,42.0,237.0,669.0,2931.0,75.0,114.0,69.0,15.0,0.0,1647.0,2277.0,4467.0,2018
502,-36.95486059507135,174.93190370800238,New Lynn South,984.0,2217.0,495.0,516.0,279.0,312.0,348.0,237.0,150.0,156.0,678.0,204.0,168.0,12.0,369.0,4650.0,12.0,150.0,39.0,495.0,45.0,24.0,36.0,78.0,105.0,168.0,15.0,108.0,558.0,198.0,3.0,18.0,48.0,24.0,30.0,1863.0,2103.0,498.0,681.0,1836.0,126.0,24.0,438.0,630.0,2604.0,99.0,225.0,204.0,45.0,12.0,2526.0,1863.0,4677.0,2018
504,-36.97556328259906,174.91349915545007,New Windsor North,885.0,1494.0,333.0,345.0,174.0,168.0,285.0,156.0,102.0,99.0,516.0,159.0,135.0,21.0,270.0,3249.0,9.0,66.0,36.0,309.0,33.0,6.0,48.0,51.0,39.0,114.0,15.0,84.0,402.0,240.0,0.0,3.0,24.0,6.0,15.0,1272.0,1104.0,246.0,519.0,1611.0,96.0,21.0,276.0,330.0,2070.0,105.0,141.0,114.0,33.0,18.0,1800.0,1272.0,3288.0,2018
506,-37.00423703727064,174.87568965480983,Titirangi South,639.0,2046.0,579.0,267.0,240.0,309.0,294.0,243.0,153.0,204.0,579.0,327.0,261.0,96.0,153.0,4026.0,3.0,222.0,42.0,348.0,18.0,27.0,3.0,21.0,39.0,123.0,6.0,30.0,36.0,6.0,9.0,30.0,0.0,42.0,45.0,2433.0,3636.0,285.0,132.0,288.0,60.0,60.0,228.0,786.0,2223.0,129.0,150.0,243.0,48.0,9.0,1302.0,2433.0,4053.0,2018
508,-36.991366991628446,174.9442493737509,Owairaka East,483.0,942.0,177.0,168.0,99.0,99.0,171.0,87.0,63.0,78.0,336.0,102.0,96.0,27.0,135.0,2046.0,12.0,54.0,6.0,300.0,12.0,3.0,12.0,48.0,21.0,78.0,15.0,57.0,168.0,147.0,3.0,3.0,15.0,12.0,24.0,774.0,909.0,180.0,357.0,753.0,108.0,24.0,171.0,246.0,1182.0,36.0,90.0,78.0,24.0,12.0,1173.0,774.0,2043.0,2018
510,-37.0116049983855,174.85932954709563,Eden Valley,609.0,1107.0,219.0,141.0,99.0,108.0,174.0,72.0,48.0,84.0,486.0,231.0,159.0,39.0,105.0,2235.0,6.0,102.0,18.0,189.0,12.0,6.0,9.0,6.0,18.0,75.0,3.0,39.0,108.0,21.0,3.0,15.0,18.0,3.0,27.0,1275.0,1521.0,183.0,81.0,582.0,48.0,27.0,180.0,375.0,1383.0,42.0,69.0,84.0,24.0,3.0,861.0,1275.0,2229.0,2018
512,-37.00443199255984,174.9015835762124,Sandringham Central,594.0,1110.0,261.0,183.0,111.0,129.0,156.0,120.0,66.0,81.0,456.0,141.0,126.0,18.0,171.0,2385.0,12.0,57.0,15.0,216.0,9.0,6.0,48.0,30.0,24.0,84.0,3.0,24.0,471.0,120.0,0.0,15.0,33.0,6.0,27.0,939.0,1014.0,171.0,300.0,1077.0,57.0,18.0,156.0,321.0,1482.0,51.0,108.0,93.0,21.0,6.0,1341.0,939.0,2382.0,2018
514,-37.022485382270574,174.88851868185583,Glenavon,741.0,1296.0,243.0,384.0,144.0,150.0,246.0,147.0,102.0,60.0,333.0,84.0,96.0,15.0,237.0,2907.0,9.0,51.0,18.0,309.0,39.0,9.0,51.0,111.0,105.0,147.0,12.0,57.0,402.0,324.0,3.0,9.0,42.0,6.0,27.0,732.0,597.0,288.0,789.0,1359.0,159.0,33.0,297.0,276.0,1692.0,81.0,129.0,78.0,33.0,24.0,2034.0,732.0,2916.0,2018
516,-37.049780878138506,174.8742764727075,Blockhouse Bay North,840.0,1764.0,525.0,429.0,198.0,210.0,309.0,141.0,120.0,117.0,597.0,186.0,180.0,18.0,375.0,3873.0,15.0,141.0,24.0,468.0,27.0,27.0,90.0,51.0,57.0,102.0,12.0,75.0,645.0,396.0,3.0,3.0,60.0,6.0,24.0,1158.0,1146.0,225.0,558.0,2151.0,135.0,42.0,264.0,399.0,2457.0,132.0,168.0,159.0,36.0,21.0,2541.0,1158.0,3882.0,2018
518,-37.143270068328114,174.81216135330882,Green Bay North,249.0,798.0,375.0,234.0,150.0,132.0,132.0,111.0,57.0,60.0,222.0,87.0,48.0,9.0,90.0,1782.0,6.0,117.0,48.0,198.0,18.0,6.0,9.0,39.0,24.0,69.0,9.0,9.0,87.0,36.0,3.0,3.0,6.0,9.0,18.0,846.0,1230.0,162.0,171.0,414.0,39.0,24.0,147.0,336.0,927.0,42.0,78.0,90.0,24.0,0.0,831.0,846.0,1791.0,2018
520,-37.02635064281544,174.93020751737592,Parnell East,723.0,1725.0,654.0,141.0,183.0,198.0,270.0,96.0,90.0,159.0,759.0,396.0,309.0,102.0,126.0,3405.0,6.0,543.0,9.0,345.0,18.0,3.0,3.0,30.0,24.0,168.0,3.0,48.0,39.0,15.0,18.0,6.0,3.0,18.0,36.0,1665.0,2781.0,162.0,75.0,516.0,93.0,36.0,159.0,591.0,2220.0,96.0,120.0,99.0,33.0,9.0,1545.0,1665.0,3561.0,2018
522,-37.04166286039145,174.90633730161667,Laingholm,345.0,1263.0,225.0,180.0,147.0,159.0,204.0,177.0,93.0,114.0,300.0,168.0,105.0,33.0,84.0,2385.0,0.0,87.0,30.0,135.0,6.0,12.0,6.0,9.0,12.0,42.0,6.0,15.0,15.0,3.0,3.0,21.0,3.0,18.0,27.0,1578.0,2220.0,237.0,60.0,108.0,27.0,36.0,171.0,552.0,1107.0,69.0,99.0,132.0,42.0,3.0,666.0,1578.0,2394.0,2018
524,-37.034867737929176,174.91199761770318,Sandringham West,582.0,1131.0,177.0,156.0,81.0,99.0,198.0,72.0,99.0,102.0,438.0,183.0,156.0,15.0,144.0,2337.0,0.0,72.0,12.0,231.0,6.0,3.0,30.0,24.0,21.0,69.0,3.0,60.0,291.0,75.0,0.0,12.0,54.0,9.0,18.0,1122.0,1134.0,156.0,243.0,993.0,57.0,9.0,174.0,279.0,1440.0,51.0,99.0,117.0,15.0,6.0,1119.0,1122.0,2343.0,2018
526,-37.049204578107926,174.9459201674349,Mount Eden North East,600.0,861.0,45.0,111.0,60.0,78.0,141.0,57.0,30.0,33.0,168.0,60.0,48.0,12.0,36.0,1107.0,3.0,45.0,3.0,90.0,6.0,6.0,24.0,15.0,3.0,39.0,30.0,27.0,27.0,36.0,0.0,15.0,6.0,3.0,9.0,552.0,522.0,294.0,183.0,225.0,42.0,12.0,198.0,246.0,612.0,9.0,27.0,6.0,3.0,0.0,513.0,552.0,1557.0,2018
528,-37.06371201575272,174.94736799355502,Mount Eden North,1056.0,1575.0,450.0,198.0,138.0,162.0,321.0,114.0,99.0,138.0,777.0,354.0,303.0,63.0,171.0,3474.0,6.0,231.0,21.0,306.0,15.0,6.0,9.0,27.0,27.0,102.0,12.0,75.0,201.0,63.0,15.0,15.0,24.0,30.0,30.0,1785.0,2424.0,210.0,144.0,885.0,99.0,33.0,249.0,549.0,2271.0,57.0,123.0,84.0,30.0,3.0,1494.0,1785.0,3483.0,2018
530,-37.24351206335135,174.74014333307605,Wesley West,1041.0,1338.0,249.0,480.0,162.0,171.0,324.0,177.0,102.0,60.0,363.0,90.0,105.0,15.0,228.0,3429.0,27.0,42.0,30.0,336.0,27.0,15.0,111.0,252.0,102.0,162.0,3.0,57.0,234.0,633.0,0.0,6.0,78.0,6.0,21.0,735.0,594.0,270.0,1332.0,1251.0,309.0,36.0,360.0,327.0,1962.0,81.0,96.0,78.0,42.0,33.0,2520.0,735.0,3399.0,2018
